年度,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,總計
"70年","1","1","3","3","3","1","6","2","5","5","3","2","35"
"71年","4","3","4","0","3","5","7","6","5","8","3","3","51"
"72年","3","1","8","8","5","8","4","8","22","8","3","3","81"
"73年","1","2","2","3","6","1","6","4","8","12","4","4","53"
"74年","3","0","3","3","8","10","17","14","14","5","3","0","80"
"75年","8","2","6","8","4","7","6","2","2","9","3","5","62"
"76年","4","2","6","11","3","8","11","5","13","11","7","3","84"
"77年","4","5","6","4","7","6","13","15","17","7","4","4","92"
"78年","2","0","4","5","12","9","15","14","11","4","5","3","84"
"79年","2","1","4","5","8","0","5","5","14","2","5","6","57"
"80年","1","5","7","10","14","4","7","8","10","14","7","6","93"
"81年","2","1","10","3","7","17","8","9","17","8","4","2","88"
"82年","3","0","5","5","5","15","13","8","13","7","2","1","77"
"83年","7","5","2","14","14","16","10","7","7","7","5","8","102"
"84年","1","7","7","12","17","16","20","9","13","9","9","3","123"
"85年","7","8","6","8","18","19","29","20","35","15","10","3","178"
"86年","7","1","11","8","53","40","38","15","23","20","10","8","234"
"87年","7","2","9","15","34","21","16","20","16","17","15","8","180"
"88年","6","5","7","10","12","28","30","17","12","7","9","7","150"
"89年","13","8","5","11","19","26","22","40","28","19","9","8","208"
"90年","7","5","8","11","18","19","23","21","23","21","11","11","178"
"91年","12","5","17","8","19","30","26","36","40","29","22","18","262"
"92年","23","13","10","16","14","21","22","34","55","14","17","12","251"
"93年","27","20","24","15","32","18","20","34","28","19","22","15","274"
"94年","17","22","9","14","26","27","28","30","24","21","18","11","247"
"95年","18","20","16","14","15","27","26","25","27","30","33","14","265"
"96年","29","25","10","16","25","26","17","14","32","18","12","24","248"
"97年","20","28","22","22","27","21","31","25","28","18","13","17","272"
"98年","20","18","28","24","40","24","29","42","41","32","36","17","351"
"99年","78","55","25","26","50","25","27","27","54","48","49","39","503"
"100年","49","57","33","25","43","28","36","31","39","28","26","31","426"
"101年","53","39","47","21","36","37","35","42","43","63","60","51","527"
"102年","47","46","22","46","36","28","23","46","39","37","22","17","409"
"103年","38","61","24","41","40","40","34","38","51","33","37","43","480"
"104年","95","122","53","42","36","42","48","36","47","36","40","35","632"
"總計","619","595","463","487","709","670","708","709","856","641","538","442","7437"
